index,rank,school
0,1,Thomas Jefferson High School for Science and Technology
1,2,Academic Magnet High School
2,3,The Davidson Academy of Nevada
3,4,Payton College Preparatory High School
4,5,School for Advanced Studies (SAS)
5,6,Sumner Academy of Arts and Science
6,7,Merrol Hyde Magnet School
7,8,BASIS Chandler
8,9,"Gwinnett School of Mathematics, Science and Technology"
9,10,Signature School
10,11,Oxford Academy
11,12,Townsend Harris High School
12,13,The School for the Talented and Gifted (TAG)
13,14,Loveless Academic Magnet Program High School
14,15,Irma Lerma Rangel Young Women's Leadership School
15,16,Tesla STEM High School
16,17,University High School (Tucson)
17,18,Julia R. Masterman Secondary School
18,19,Central Magnet School
19,20,The Early College at Guilford
20,21,International School of Beaverton
21,22,Brooklyn Technical High School
22,23,BASIS Oro Valley
23,24,International Academy of Macomb
24,25,Whitney High School
25,26,Northside College Preparatory High School
26,27,"Middlesex County Academy for Science, Mathematics and Engineering Technologies"
27,28,High School Math Science and Engineering at CCNY
28,29,Pine View School
29,30,Queens High School for the Sciences at York College
30,31,City High Middle School
31,32,California Academy of Mathematics and Science
32,33,BASIS Peoria
33,34,Downingtown STEM Academy
34,35,Bronx High School of Science
35,36,Boston Latin School
36,37,Staten Island Technical High School
37,38,BASIS Scottsdale
38,39,Science and Engineering Magnet School (SEM)
39,40,Pioneer Valley Chinese Immersion Charter School
40,41,Liberal Arts and Science Academy (LASA)
41,42,Carnegie Vanguard High School
42,43,International Academy
43,44,Stuyvesant High School
44,45,BASIS Ahwatukee
45,46,DeBakey High School for Health Professions
46,47,BASIS Tucson North
47,48,Dupont Manual High
48,49,High School of American Studies at Lehman College
49,50,Haas Hall Academy
50,51,Classen High School of Advanced Studies
51,52,BASIS Phoenix
52,53,High Technology High School
53,54,Bergen County Academies
54,55,BASIS Mesa
55,56,Hume Fogg Magnet High School
56,57,Jones College Prep High School
57,58,Westshore Junior/Senior High School
58,59,Judge Barefoot Sanders Law Magnet
59,60,International School
60,61,Middlesex County Academy for Allied Health
61,62,Riverside Stem Academy
62,63,Archimedean Upper Conservatory Charter School
63,64,Benjamin Franklin High School
64,65,Design and Architecture Senior High
65,66,Brooklyn Latin School
66,67,D'Evelyn Junior/Senior High School
67,68,IDEA Frontier College Preparatory
68,69,High School for Dual Language and Asian Studies
69,70,Young Magnet High School
70,71,Mission San Jose High
71,72,iPrep Academy
72,73,Dr. Ronald E McNair High School
73,74,Charter School of Wilmington
74,75,Patrick F. Taylor Science and Technology Academy
75,76,Preuss School UCSD
76,77,Stanton College Preparatory School
77,78,Lowell High School
78,79,Lane Technical High School
79,80,Haas Hall Academy Bentonville
80,81,Eleanor Roosevelt High School
81,82,Albuquerque Institute of Math and Science
82,83,Union County Magnet High School
83,84,Harbor Teacher Preparation Academy
84,85,International Studies Charter High School
85,86,University High School (Fresno)
86,87,Jose Marti Mast 6-12 Academy
87,88,Baccalaureate School for Global Education
88,89,Challenge Early College High School
89,90,School Without Walls High School
90,91,Biotechnology High School
91,92,Bergen County Technical High School - Teterboro
92,93,Advanced Math and Science Academy Charter School
93,94,Columbus High School
94,95,Pacific Collegiate Charter
95,96,Health Careers High School
96,97,Young Women's College Prep Academy
97,98,Richards School for Young Women Leaders
98,99,Math and Science Academy
99,100,Raleigh Charter High School